Name,Cost,CumulativeMonthly,payment_date
Andy,45,45,2018-10-17
Andy,45,90,2018-10-17
Andy,45,135,2018-11-17
Andy,45,180,2018-12-17
Andy,45,225,2019-01-17
Andy,45,270,2019-02-17
Andy,45,315,2019-03-17
Andy,45,360,2019-04-17
Andy,45,405,2019-05-17
Andy,45,450,2019-06-17
Andy,45,495,2019-07-17
Andy,45,540,2019-08-17
Andy,45,585,2019-09-17
Carl,20,20,2018-12-13
Carl,20,40,2019-01-13
Carl,20,60,2019-02-13
Carl,20,80,2019-03-13
Carl,20,100,2019-04-13
Carl,20,120,2019-05-13
Carl,20,140,2019-06-13
Carl,20,160,2019-07-13
Carl,20,180,2019-08-13
Carl,20,200,2019-09-13
Carl,20,220,2019-10-13
Carl,20,240,2019-11-13
Carl,20,260,2019-12-13
Carl,20,280,2020-01-13
Carl,20,300,2020-02-13
Carl,20,320,2020-03-13
Carl,20,340,2020-04-13
Carl,20,360,2020-05-13
Carl,20,380,2020-06-13
Carl,20,400,2020-07-13
Carl,20,420,2020-08-13
Carl,20,440,2020-09-13
Carl,20,460,2020-10-13
Carl,20,480,2020-11-13
Jonathan,15,15,2019-02-22
Jonathan,15,30,2019-03-22
Jonathan,15,45,2019-04-22
Jonathan,15,60,2019-05-22
Jonathan,15,75,2019-06-22
Jonathan,15,90,2019-07-22
Sophie,30,30,2018-11-19
Sophie,30,60,2018-12-19
Sophie,30,90,2019-01-19
Sophie,30,120,2019-02-19
Sophie,30,150,2019-03-19
Sophie,30,180,2019-04-19
Sophie,30,210,2019-05-19
Sophie,30,240,2019-06-19
Sophie,30,270,2019-07-19
Sophie,30,300,2019-08-19
Sophie,30,330,2019-09-19
Sophie,30,360,2019-10-19
